order_id,customer_id,customer_unique_id,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,delivery_delay_days,is_late,review_score,item_count,price_total,freight_total,seller_count,customer_city,customer_state,seller_id,seller_city,seller_state,product_id,product_weight_g,product_length_cm,product_height_cm,product_width_cm,repeat_90d
e22acc9c116caa3f2b7121bbb380d08e,fadbb3709178fc513abc1b2670aa1ad2,0000366f3b9a7992bf8c76cfdf3221e2,2018-05-10 10:56:27,2018-05-16 20:48:37,2018-05-21,-5.0,0,5.0,1.0,129.9,12.0,1.0,cajamar,SP,da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,372645c7439f9661fbbacfd129aa92ec,1500.0,34.0,7.0,32.0,0
3594e05a005ac4d06a72673270ef9ec9,4cb282e167ae9234755102258dd52ee8,0000b849f77a49e4a4ce2b2a4ca5be3f,2018-05-07 11:11:27,2018-05-10 18:02:42,2018-05-15,-5.0,0,4.0,1.0,18.9,8.29,1.0,osasco,SP,138dbe45fc62f1e244378131a6801526,sao paulo,SP,5099f7000472b634fea8304448d20825,375.0,26.0,11.0,18.0,0
b33ec3b699337181488304f362a6b734,9b3932a6253894a02c1df9d19004239f,0000f46a3911fa3c0805444483337064,2017-03-10 21:05:03,2017-04-05 14:38:47,2017-04-07,-2.0,0,3.0,1.0,69.0,17.22,1.0,sao jose,SC,3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,64b488de448a5324c4134ea39c28a34b,1500.0,25.0,50.0,35.0,0
41272756ecddd9a9ed0180413cc22fb6,914991f0c02ef0843c0e7010c819d642,0000f6ccb0745a6a4b88665a16c9f078,2017-10-12 20:29:41,2017-11-01 21:23:05,2017-11-13,-12.0,0,4.0,1.0,25.99,17.63,1.0,belem,PA,ef506c96320abeedfb894c34db06f478,sao paulo,SP,2345a354a6f2033609bbf62bf5be9ef6,150.0,19.0,5.0,11.0,0
d957021f1127559cd947b62533f484f7,47227568b10f5f58a524a75507e6992c,0004aac84e0df4da2b147fca70cf8255,2017-11-14 19:45:42,2017-11-27 23:08:56,2017-12-05,-8.0,0,5.0,1.0,180.0,16.89,1.0,sorocaba,SP,70a12e78e608ac31179aea7f8422044b,jacarei,SP,c72e18b3fe2739b8d24ebf3102450f37,6050.0,16.0,3.0,11.0,0
3e470077b690ea3e3d501cffb5e0c499,4a913a170c26e3c8052ed0202849b5a8,0004bd2a26a76fe21f786e4fbd80607f,2018-04-05 19:33:16,2018-04-07 16:12:43,2018-04-19,-12.0,0,4.0,1.0,154.0,12.98,1.0,sao paulo,SP,ff063b022a9a0aab91bad2c9088760b7,santo andre,SP,25cf184645f3fae66083bf33581b8f13,3000.0,67.0,3.0,41.0,0
d0028facea13f508e880202d7097a5a1,d2509c13692836fc0449e88cf9eb4858,00050ab1314c0e55a6ca13cf7181fecf,2018-04-20 12:57:23,2018-04-27 12:08:59,2018-05-09,-12.0,0,4.0,1.0,27.99,7.39,1.0,campinas,SP,ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,8cefe1c6f2304e7e6825150218ffc58c,300.0,17.0,4.0,12.0,0
44e608f2db00c74a1fe329de44416a4e,a81ebb9b32f102298c0c89635b4b3154,00053a61a98854899e70ed204dd4bafe,2018-02-28 11:15:41,2018-03-16 19:02:51,2018-03-26,-10.0,0,1.0,2.0,382.0,37.18,1.0,curitiba,PR,218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,SP,62984ea1bba7fcea1f5b57084d3bf885,1092.0,30.0,26.0,22.0,0
ae76bef74b97bcb0b3e355e60d9a6f9c,3b37fb626fdf46cd99d37ec62afa88ff,0005e1862207bf6ccc02e4228effd9a0,2017-03-04 23:32:12,2017-03-09 08:33:08,2017-04-06,-28.0,0,4.0,1.0,135.0,15.12,1.0,teresopolis,RJ,0cbcee27c791afa0cdcb08587a2013a8,tres coracoes,MG,e24f73b7631ee3fbb2ab700a9acaa258,2250.0,22.0,15.0,20.0,0
01b330808c5819a6a3cb79b72f0b8288,c59e8ff99836e90d8b457d4122dc34e9,0005ef4cd20d2893f0d9fbd94d3c0d97,2018-03-12 15:22:12,2018-05-05 12:38:38,2018-04-04,31.0,1,1.0,1.0,104.9,24.86,1.0,sao luis,MA,3c03b12bab54d8b37d79d914bfdb1aa0,sao joao de meriti,RJ,4fb3e6ce442ce9c621ea9509e47ac951,1136.0,26.0,29.0,21.0,0
